Measurement_ID;TimeStamp;Step;Status;ProgTime;StepTime;Cycle;CycleLevel;Procedure_2;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;Channel0270101;Channel0280101;x1;x2;x3
Cells;14/11/2022 16:24;4;MSG;00:17:26;00:00:55;0;0;Form_Prototipo;CAN-LC Limit Warning Channel 3!;;;;;;;;;;;;;;
Maximum Voltage;14/11/2022 16:24;4;PAU;00:17:26;00:00:00;0;0;Form_Prototipo;-0,021349;0;;;;;;;;;;;;;
Gassing Voltage;14/11/2022 16:24;4;PAU;00:17:26;00:00:00;0;0;Form_Prototipo;-0,021349;0;0;0;0;0;0;0;0;0;-0,765063;-1,39426;;;
Break Voltage;14/11/2022 16:39;4;PAU;00:32:26;00:15:00;0;0;Form_Prototipo;0,001334;0;0;0;0;0;0;0;0;0;3,151734;-0,633348;;;
Charge Factor;14/11/2022 16:44;4;PAU;00:37:26;00:20:00;0;0;Form_Prototipo;0,004448;0;0;0;0;0;0;0;0;0;-0,597586;-1,18671;;;
Impedance;14/11/2022 16:44;4;PAU;00:37:26;00:20:00;0;0;Form_Prototipo;0,004448;0;;;;;;;;;;;;;
Cold Cranking Current;14/11/2022 16:44;5;MSG;00:37:26;00:20:00;0;0;Form_Prototipo;Set IRange: 4;;;;;;;;;;;;;;
Energy Density;14/11/2022 16:44;5;CHA;00:37:26;00:00:00;0;0;Form_Prototipo;1,722267;0;;;;;;;;;;;;;
Comment;14/11/2022 16:44;5;CHA;00:37:26;00:00:00;0;0;Form_Prototipo;2,291463;0,959414;0;0;0;0;0;0;0;0;-0,57731;-2,145593;;;
;14/11/2022 16:54;5;CHA;00:47:26;00:09:59;0;0;Form_Prototipo;2,173377;0,999964;0,166586;0;0,166586;0,166586;0,376235;0,376235;0;0,376235;0,930305;2,096419;;;
;14/11/2022 17:09;5;CHA;01:02:26;00:24:59;0;0;Form_Prototipo;2,096209;1,000009;0,416633;0;0,416633;0,416633;0,908029;0,908029;0;0,908029;-1,01109;-1,668227;;;
;14/11/2022 17:24;5;CHA;01:17:26;00:39:59;0;0;Form_Prototipo;2,065408;1,000009;0,666659;0;0,666659;0,666659;1,42768;1,42768;0;1,42768;-0,694336;-2,190296;;;
;14/11/2022 17:39;5;CHA;01:32:26;00:54:59;0;0;Form_Prototipo;2,049174;1,000009;0,916649;0;0,916649;0,916649;1,94175;1,94175;0;1,94175;-2,068799;-0,275403;;;
;14/11/2022 17:54;5;CHA;01:47:26;01:09:59;0;0;Form_Prototipo;2,041391;0,999964;1,166647;0;1,166647;1,166647;2,452942;2,452942;0;2,452942;0,002554;-1,237959;;;
;14/11/2022 18:09;5;CHA;02:02:26;01:24:59;0;0;Form_Prototipo;2,036721;0,999964;1,416561;0;1,416561;1,416561;2,962389;2,962389;0;2,962389;-0,622811;-1,945706;;;
;14/11/2022 18:24;5;CHA;02:17:26;01:39:59;0;0;Form_Prototipo;2,034608;0,999964;1,666591;0;1,666591;1,666591;3,471297;3,471297;0;3,471297;-2,736952;0,993368;;;
;14/11/2022 18:39;5;CHA;02:32:26;01:54:59;0;0;Form_Prototipo;2,033718;0,999964;1,916593;0;1,916593;1,916593;3,979775;3,979775;0;3,979775;0,421008;-0,982193;;;
;14/11/2022 18:54;5;CHA;02:47:26;02:09:59;0;0;Form_Prototipo;2,034274;1,000009;2,166579;0;2,166579;2,166579;4,488311;4,488311;0;4,488311;-0,591838;1,018275;;;
;14/11/2022 19:09;5;CHA;03:02:26;02:24:59;0;0;Form_Prototipo;2,036053;1,000009;2,416629;0;2,416629;2,416629;4,997247;4,997247;0;4,997247;-0,959043;-2,193808;;;
;14/11/2022 19:24;5;CHA;03:17:26;02:39:59;0;0;Form_Prototipo;2,04039;1,000009;2,666563;0;2,666563;2,666563;5,506598;5,506598;0;5,506598;1,887751;1,153661;;;
;14/11/2022 19:39;5;CHA;03:32:26;02:54:59;0;0;Form_Prototipo;2,04506;1,000009;2,916599;0;2,916599;2,916599;6,017145;6,017145;0;6,017145;1,619053;2,133938;;;
;14/11/2022 19:54;5;CHA;03:47:26;03:09:59;0;0;Form_Prototipo;2,049841;1,000009;3,16656;0;3,16656;3,16656;6,528821;6,528821;0;6,528821;-1,111832;-1,965822;;;
;14/11/2022 20:09;5;CHA;04:02:26;03:24:59;0;0;Form_Prototipo;2,059849;0,999964;3,416572;0;3,416572;3,416572;7,042441;7,042441;0;7,042441;0,929028;-2,185347;;;
;14/11/2022 20:24;5;CHA;04:17:26;03:39:59;0;0;Form_Prototipo;2,07119;1,000009;3,666565;0;3,666565;3,666565;7,558708;7,558708;0;7,558708;0,908273;2,019785;;;
;14/11/2022 20:39;5;CHA;04:32:26;03:54:59;0;0;Form_Prototipo;2,08976;1,000009;3,916605;0;3,916605;3,916605;8,078865;8,078865;0;8,078865;-0,877619;-2,186305;;;
;14/11/2022 20:54;5;CHA;04:47:26;04:09:59;0;0;Form_Prototipo;2,11222;0,999964;4,166538;0;4,166538;4,166538;8,603802;8,603802;0;8,603802;-1,753322;1,482389;;;
;14/11/2022 21:09;5;CHA;05:02:26;04:24:59;0;0;Form_Prototipo;2,139574;1,000009;4,416609;0;4,416609;4,416609;9,135255;9,135255;0;9,135255;-2,05938;-2,261661;;;
;14/11/2022 21:24;5;CHA;05:17:26;04:39:59;0;0;Form_Prototipo;2,176268;0,999964;4,666547;0;4,666547;4,666547;9,674376;9,674376;0;9,674376;-2,61306;0,477047;;;
;14/11/2022 21:39;5;CHA;05:32:26;04:54:59;0;0;Form_Prototipo;2,219188;1,000009;4,916548;0;4,916548;4,916548;10,22386;10,22386;0;10,22386;1,622566;2,112704;;;
;14/11/2022 21:54;5;CHA;05:47:26;05:09:59;0;0;Form_Prototipo;2,258439;0,999964;5,166592;0;5,166592;5,166592;10,783774;10,783774;0;10,783774;1,925749;-1,889827;;;
;14/11/2022 22:09;5;CHA;06:02:26;05:24:59;0;0;Form_Prototipo;2,297134;1,000009;5,416549;0;5,416549;5,416549;11,352632;11,352632;0;11,352632;3,030716;-1,789564;;;
;14/11/2022 22:24;5;CHA;06:17:26;05:39:59;0;0;Form_Prototipo;2,372301;0,999964;5,666552;0;5,666552;5,666552;11,935644;11,935644;0;11,935644;-2,072791;1,913615;;;
;14/11/2022 22:39;5;CHA;06:32:26;05:54:59;0;0;Form_Prototipo;2,438683;0,999964;5,916522;0;5,916522;5,916522;12,537438;12,537438;0;12,537438;0,222718;0,364331;;;
;14/11/2022 22:54;5;CHA;06:47:26;06:09:59;0;0;Form_Prototipo;2,493056;0,999964;6,166509;0;6,166509;6,166509;13,154054;13,154054;0;13,154054;0,831319;-0,663842;;;
;14/11/2022 23:09;5;CHA;07:02:26;06:24:59;0;0;Form_Prototipo;2,538979;1,000009;6,416585;0;6,416585;6,416585;13,783757;13,783757;0;13,783757;2,257989;-1,071918;;;
;14/11/2022 23:24;5;CHA;07:17:26;06:39:59;0;0;Form_Prototipo;2,575561;0,999964;6,66658;0;6,66658;6,66658;14,423663;14,423663;0;14,423663;-1,91138;2,084924;;;
;14/11/2022 23:39;5;CHA;07:32:26;06:54:59;0;0;Form_Prototipo;2,588793;0,999964;6,916517;0;6,916517;6,916517;15,0692;15,0692;0;15,0692;-1,443753;-2,204186;;;
;14/11/2022 23:54;5;CHA;07:47:26;07:09:59;0;0;Form_Prototipo;2,597244;0,999964;7,166509;0;7,166509;7,166509;15,717587;15,717587;0;15,717587;2,39146;-1,99935;;;
;15/11/2022 00:09;5;CHA;08:02:26;07:24:59;0;0;Form_Prototipo;2,60247;1,000009;7,416535;0;7,416535;7,416535;16,36772;16,36772;0;16,36772;-0,336232;0,483752;;;
;15/11/2022 00:24;5;CHA;08:17:26;07:39:59;0;0;Form_Prototipo;2,605583;1,000009;7,666558;0;7,666558;7,666558;17,018744;17,018744;0;17,018744;-0,677413;-1,762582;;;
;15/11/2022 00:39;5;CHA;08:32:26;07:54:59;0;0;Form_Prototipo;2,610476;0,999964;7,916568;0;7,916568;7,916568;17,670661;17,670661;0;17,670661;1,557586;-2,033995;;;
;15/11/2022 00:54;5;CHA;08:47:26;08:09:59;0;0;Form_Prototipo;2,615924;1,000009;8,166509;0;8,166509;8,166509;18,323864;18,323864;0;18,323864;-0,79891;-2,138089;;;
;15/11/2022 01:09;5;CHA;09:02:26;08:24:59;0;0;Form_Prototipo;2,620817;1,000009;8,416519;0;8,416519;8,416519;18,978487;18,978487;0;18,978487;-2,72402;1,365043;;;
;15/11/2022 01:24;5;CHA;09:17:26;08:39:59;0;0;Form_Prototipo;2,625598;1,000009;8,666483;0;8,666483;8,666483;19,634232;19,634232;0;19,634232;0,602854;-0,967824;;;
;15/11/2022 01:39;5;CHA;09:32:26;08:54:59;0;0;Form_Prototipo;2,631047;1,000009;8,916532;0;8,916532;8,916532;20,291486;20,291486;0;20,291486;1,314114;2,055708;;;
;15/11/2022 01:54;5;CHA;09:47:26;09:09:59;0;0;Form_Prototipo;2,636384;0,999964;9,166527;0;9,166527;9,166527;20,949885;20,949885;0;20,949885;0,555277;0,504348;;;
;15/11/2022 02:09;5;CHA;10:02:26;09:24:59;0;0;Form_Prototipo;2,643389;1,000009;9,416527;0;9,416527;9,416527;21,609851;21,609851;0;21,609851;-2,681712;1,52821;;;
;15/11/2022 02:24;5;CHA;10:17:26;09:39:59;0;0;Form_Prototipo;2,650172;1,000009;9,666544;0;9,666544;9,666544;22,271592;22,271592;0;22,271592;1,446786;1,062339;;;
;15/11/2022 02:39;5;CHA;10:32:26;09:54:59;0;0;Form_Prototipo;2,656955;1,000009;9,916486;0;9,916486;9,916486;22,934817;22,934817;0;22,934817;2,947536;0,330804;;;
;15/11/2022 02:54;5;CHA;10:47:26;10:09:59;0;0;Form_Prototipo;2,663515;0,999964;10,166482;0;10,166482;10,166482;23,599862;23,599862;0;23,599862;0,325216;0,122455;;;
;15/11/2022 03:09;5;CHA;11:02:26;10:24:59;0;0;Form_Prototipo;2,669742;0,999964;10,416477;0;10,416477;10,416477;24,266462;24,266462;0;24,266462;-0,034006;0,66017;;;
;15/11/2022 03:24;5;CHA;11:17:26;10:39:59;0;0;Form_Prototipo;2,676191;1,000009;10,666491;0;10,666491;10,666491;24,934724;24,934724;0;24,934724;-0,532766;-0,937489;;;
;15/11/2022 03:39;5;CHA;11:32:26;10:54:59;0;0;Form_Prototipo;2,682307;0,999964;10,916491;0;10,916491;10,916491;25,60454;25,60454;0;25,60454;-0,963034;-0,958404;;;
;15/11/2022 03:54;5;CHA;11:47:26;11:09:59;0;0;Form_Prototipo;2,689089;1,000009;11,166481;0;11,166481;11,166481;26,275959;26,275959;0;26,275959;0,884325;2,040221;;;
;15/11/2022 04:09;5;CHA;12:02:26;11:24:59;0;0;Form_Prototipo;2,695427;1,000009;11,416489;0;11,416489;11,416489;26,94904;26,94904;0;26,94904;0,369121;-0,80817;;;
;15/11/2022 04:24;5;CHA;12:17:26;11:39:59;0;0;Form_Prototipo;2,701988;0,999964;11,666464;0;11,666464;11,666464;27,62365;27,62365;0;27,62365;-0,875384;-1,7546;;;
;15/11/2022 04:39;5;CHA;12:32:26;11:54:59;0;0;Form_Prototipo;2,707992;1,000009;11,916494;0;11,916494;11,916494;28,299968;28,299968;0;28,299968;-0,148319;0,971177;;;
;15/11/2022 04:54;5;CHA;12:47:26;12:09:59;0;0;Form_Prototipo;2,713774;1,000009;12,166436;0;12,166436;12,166436;28,977527;28,977527;0;28,977527;0,416378;1,196608;;;
;15/11/2022 05:09;5;CHA;13:02:26;12:24:59;0;0;Form_Prototipo;2,719111;1,000009;12,416449;0;12,416449;12,416449;29,656688;29,656688;0;29,656688;0,025225;2,130266;;;
;15/11/2022 05:24;5;CHA;13:17:26;12:39:59;0;0;Form_Prototipo;2,724115;1,000009;12,666478;0;12,666478;12,666478;30,337189;30,337189;0;30,337189;1,348918;2,045011;;;
;15/11/2022 05:39;5;CHA;13:32:26;12:54:59;0;0;Form_Prototipo;2,728563;1,000009;12,916449;0;12,916449;12,916449;31,018729;31,018729;0;31,018729;-0,241557;-0,933498;;;
;15/11/2022 05:54;5;CHA;13:47:26;13:09:59;0;0;Form_Prototipo;2,732566;0,999964;13,16646;0;13,16646;13,16646;31,701447;31,701447;0;31,701447;0,710781;-0,414941;;;
;15/11/2022 06:09;5;CHA;14:02:26;13:24:59;0;0;Form_Prototipo;2,736569;1,000009;13,416492;0;13,416492;13,416492;32,385179;32,385179;0;32,385179;3,062647;-1,613306;;;
;15/11/2022 06:24;5;CHA;14:17:26;13:39:59;0;0;Form_Prototipo;2,73946;0,999964;13,666428;0;13,666428;13,666428;33,069496;33,069496;0;33,069496;0,808649;1,460038;;;
;15/11/2022 06:39;5;CHA;14:32:26;13:54:59;0;0;Form_Prototipo;2,742351;1,000009;13,916439;0;13,916439;13,916439;33,754756;33,754756;0;33,754756;1,430981;-2,2532;;;
;15/11/2022 06:54;5;CHA;14:47:26;14:09:59;0;0;Form_Prototipo;2,744797;1,000009;14,166405;0;14,166405;14,166405;34,440546;34,440546;0;34,440546;1,087085;2,023936;;;
;15/11/2022 07:09;5;CHA;15:02:26;14:24:59;0;0;Form_Prototipo;2,747021;1,000009;14,416415;0;14,416415;14,416415;35,127033;35,127033;0;35,127033;2,374377;-1,872105;;;
;15/11/2022 07:24;5;CHA;15:17:26;14:39:59;0;0;Form_Prototipo;2,7488;0,999964;14,666478;0;14,666478;14,666478;35,814162;35,814162;0;35,814162;-2,601406;1,821335;;;
;15/11/2022 07:39;5;CHA;15:32:26;14:54:59;0;0;Form_Prototipo;2,750468;0,999964;14,916445;0;14,916445;14,916445;36,501469;36,501469;0;36,501469;1,208423;2,070396;;;
;15/11/2022 07:54;5;CHA;15:47:26;15:09:59;0;0;Form_Prototipo;2,751802;1,000009;15,16642;0;15,16642;15,16642;37,189184;37,189184;0;37,189184;2,313389;-1,266856;;;
;15/11/2022 08:09;5;CHA;16:02:26;15:24:59;0;0;Form_Prototipo;2,753025;1,000009;15,416455;0;15,416455;15,416455;37,877402;37,877402;0;37,877402;-0,460283;-0,568529;;;
;15/11/2022 08:24;5;CHA;16:17:26;15:39:59;0;0;Form_Prototipo;2,754026;0,999964;15,666384;0;15,666384;15,666384;38,565603;38,565603;0;38,565603;-1,257915;-2,134257;;;
;15/11/2022 08:39;5;CHA;16:32:26;15:54:59;0;0;Form_Prototipo;2,754804;1,000009;15,916421;0;15,916421;15,916421;39,254326;39,254326;0;39,254326;1,346364;2,047884;;;
;15/11/2022 08:54;5;CHA;16:47:26;16:09:59;0;0;Form_Prototipo;2,755471;0,999964;16,166423;0;16,166423;16,166423;39,943154;39,943154;0;39,943154;1,336306;2,029365;;;
;15/11/2022 09:09;5;CHA;17:02:26;16:24:59;0;0;Form_Prototipo;2,756361;1,000009;16,416391;0;16,416391;16,416391;40,63207;40,63207;0;40,63207;2,104562;-0,561185;;;
;15/11/2022 09:24;5;CHA;17:17:26;16:39:59;0;0;Form_Prototipo;2,756806;0,999964;16,666451;0;16,666451;16,666451;41,321413;41,321413;0;41,321413;1,633901;2,102167;;;
;15/11/2022 09:39;5;CHA;17:32:26;16:54:59;0;0;Form_Prototipo;2,757584;0,999964;16,916435;0;16,916435;16,916435;42,010692;42,010692;0;42,010692;2,103604;-2,135215;;;
;15/11/2022 09:54;5;CHA;17:47:26;17:09:59;0;0;Form_Prototipo;2,757807;1,000009;17,166437;0;17,166437;17,166437;42,700138;42,700138;0;42,700138;-0,469224;-0,96479;;;
;15/11/2022 10:09;5;CHA;18:02:26;17:24:59;0;0;Form_Prototipo;2,758362;0,999964;17,416354;0;17,416354;17,416354;43,389451;43,389451;0;43,389451;0,214575;1,822133;;;
;15/11/2022 10:24;5;CHA;18:17:26;17:39:59;0;0;Form_Prototipo;2,758585;1,000009;17,666366;0;17,666366;17,666366;44,079105;44,079105;0;44,079105;-0,984268;-2,164911;;;
;15/11/2022 10:39;5;CHA;18:32:26;17:54:59;0;0;Form_Prototipo;2,758807;0,999964;17,916377;0;17,916377;17,916377;44,768825;44,768825;0;44,768825;3,042051;-1,961033;;;
;15/11/2022 10:54;5;CHA;18:47:26;18:09:59;0;0;Form_Prototipo;2,75903;0,999964;18,166356;0;18,166356;18,166356;45,458511;45,458511;0;45,458511;0,952976;2,117494;;;
;15/11/2022 11:09;5;CHA;19:02:26;18:24:59;0;0;Form_Prototipo;2,759252;0,999964;18,416366;0;18,416366;18,416366;46,148335;46,148335;0;46,148335;2,9825;0,31835;;;
;15/11/2022 11:24;5;CHA;19:17:26;18:39:59;0;0;Form_Prototipo;2,759474;0,999964;18,666376;0;18,666376;18,666376;46,838216;46,838216;0;46,838216;2,434248;2,547602;;;
;15/11/2022 11:39;5;CHA;19:32:26;18:54:59;0;0;Form_Prototipo;2,759697;1,000009;18,916395;0;18,916395;18,916395;47,528173;47,528173;0;47,528173;3,059932;0,566453;;;
;15/11/2022 11:54;5;CHA;19:47:26;19:09:59;0;0;Form_Prototipo;2,759808;1,000009;19,1664;0;19,1664;19,1664;48,21811;48,21811;0;48,21811;0,946111;1,863643;;;
;15/11/2022 12:09;5;CHA;20:02:26;19:24:59;0;0;Form_Prototipo;2,759919;1,000009;19,416328;0;19,416328;19,416328;48,907883;48,907883;0;48,907883;-0,230062;-2,211211;;;
;15/11/2022 12:24;5;CHA;20:17:26;19:39:59;0;0;Form_Prototipo;2,760142;0,999964;19,666398;0;19,666398;19,666398;49,598088;49,598088;0;49,598088;-0,436495;-0,015007;;;
;15/11/2022 12:39;5;CHA;20:32:26;19:54:59;0;0;Form_Prototipo;2,760364;1,000009;19,916381;0;19,916381;19,916381;50,288101;50,288101;0;50,288101;-1,924472;1,907389;;;
;15/11/2022 12:44;5;CHA;20:37:26;20:00:00;0;0;Form_Prototipo;2,760253;0,999964;19,999803;0;19,999803;19,999803;50,51837;50,51837;0;50,51837;0,400572;-0,225751;;;
;15/11/2022 12:44;5;CHA;20:37:26;20:00:00;0;0;Form_Prototipo;2,760253;0,999964;;;;;;;;;;;;;
;15/11/2022 12:44;6;INT;20:37:26;00:00:00;0;0;Form_Prototipo;2,760253;0;;;;;;;;;;;;;
;15/11/2022 12:44;6;INT;20:37:26;00:00:00;0;0;Form_Prototipo;2,760253;0;19,999887;0;0,000084;19,999887;50,518603;50,518603;0;0,000232;0,400572;-0,225751;;;
;16/11/2022 15:37;6;MSG;47:30:26;26:52:59;0;0;Form_Prototipo;Stop via BTS-host computer!;;;;;;;;;;;;;;
;16/11/2022 15:37;6;INT;47:30:26;26:52:59;0;0;Form_Prototipo;2,087424;0;19,999887;0;0,000084;19,999887;50,518603;50,518603;0;0,000232;-2,816779;1,599735;;;
;16/11/2022 15:37;6;INT;47:30:26;26:52:59;0;0;Form_Prototipo;2,087424;0;;;;;;;;;;;;;
;16/11/2022 15:37;9999;MSG;47:30:26;26:53:00;0;0;Form_Prototipo;Set IRange: 1;;;;;;;;;;;;;;
;16/11/2022 15:37;9999;STO;47:30:26;00:00:00;0;0;Form_Prototipo;2,087424;0;;;;;;;;;;;;;
;16/11/2022 15:37;9999;STO;47:30:26;00:00:00;0;0;Form_Prototipo;2,087424;0;19,999887;0;0,000084;19,999887;50,518603;50,518603;0;0,000232;-2,832425;1,402403;;;
;16/11/2022 15:37;9999;STO;47:30:26;00:00:00;0;0;Form_Prototipo;2,087424;0;19,999887;0;0,000084;19,999887;50,518603;50,518603;0;0,000232;-2,832425;1,402403;;;
;16/11/2022 15:37;9999;STO;47:30:26;00:00:00;0;0;Form_Prototipo;2,087424;0;;;;;;;;;;;;;
;16/11/2022 15:37;9999;STO;47:30:26;00:00:00;0;0;Form_Prototipo;2,087424;0;;;;;;;;;;;;;
;16/11/2022 15:37;9999;MSG;47:30:26;00:00:00;0;0;Form_Prototipo;CAN-LC Limit Warning Channel 3!;;;;;;;;;;;;;;
;16/11/2022 15:37:04,9999,STO,47:30:26,00:00:00,0,0,Form_Prototipo,2.087424,0.000000,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;
;16/11/2022 15:37:05,9999,MSG,47:30:26,00:00:00,0,0,Form_Prototipo,CAN-LC Limit Warning Channel 3!,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;
